H,S,B,H,S,B,H,S,B,H,S,B,H,S,B
61," 87"," 96",66," 89"," 94",72," 91"," 91",77," 93"," 89",83," 95"," 87"
238," 59"," 100",238," 59"," 100",238," 59"," 100",280," 36"," 100",295," 33"," 100"
185," 77"," 82",199," 68"," 69",211," 62"," 62",230," 55"," 55",256," 63"," 48"
333," 75"," 88",283," 36"," 71",230," 36"," 81",206," 57"," 90",197," 73"," 100"
273," 65"," 87",173," 86"," 69",271," 100"," 27",37," 100"," 100",26," 100"," 100"
346," 70"," 94",42," 60"," 100",164," 97"," 84",195," 90"," 70",195," 91"," 30"
207," 97"," 15",100," 1"," 100",174," 77"," 77",353," 87"," 91",35," 89"," 100"
209," 87"," 40",48," 19"," 98",47," 61"," 96",28," 68"," 93",10," 78"," 98"
344," 74"," 27",354," 66"," 55",353," 67"," 70",6," 29"," 99",19," 26"," 100"
39," 74"," 100",338," 92"," 85",335," 69"," 56",178," 75"," 51",187," 48"," 87"
90," 2"," 32",1," 62"," 95",48," 60"," 100",198," 78"," 63",170," 42"," 76"
4," 64"," 93",147," 55"," 83",100," 47"," 96",42," 51"," 100",11," 48"," 100"
37," 69"," 93",352," 65"," 82",188," 100"," 55",207," 66"," 56",200," 100"," 36"
202," 87"," 33",186," 94"," 55",207," 18"," 92",358," 65"," 100",357," 86"," 78"
7," 62"," 93",57," 23"," 96",172," 20"," 76",184," 46"," 66",87," 5"," 92"
20," 53"," 98",16," 62"," 100",344," 49"," 81",328," 46"," 60",326," 40"," 36"
357," 67"," 80",1," 62"," 85",0," 48"," 87",1," 34"," 89",6," 25"," 89"
181," 82"," 82",0," 0"," 100",24," 12"," 99",17," 64"," 100",349," 65"," 92"
234," 67"," 100",232," 53"," 100",232," 53"," 100",218," 25"," 100",184," 11"," 100"
179," 40"," 95",345," 16"," 100",50," 38"," 100",100," 35"," 98",143," 49"," 95"
356," 80"," 85",159," 69"," 44",128," 31"," 76",56," 23"," 96",17," 54"," 26"
